id,round,date,time,venue,division,hometeam,homescore,awayscore,awayteam
157,16,25/8/2024,9.3,Barratt Reserve 4,2,Southern Sharks,,,Austria
158,16,25/8/2024,11.15,Barratt Reserve 4,1,Sturt Fusion,,,Sporting
159,16,25/8/2024,9.3,Barratt Reserve 5,2,Southern Cross,,,Mercedes
160,16,25/8/2024,11.15,Barratt Reserve 5,1,Pulteney,,,BYE
161,17,8/9/2024,9.3,Barratt Reserve 1,1,Royal Ajvar,,,St Peters
162,17,8/9/2024,11.15,Barratt Reserve 1,2,University Orange,,,Mercedes
163,17,8/9/2024,9.3,Barratt Reserve 2,1,Pulteney,,,Cove Masters
164,17,8/9/2024,11.15,Barratt Reserve 2,2,Southern Cross,,,Pulteney Crabs
165,17,8/9/2024,9.3,Barratt Reserve 3,1,Sturt Fusion,,,Croatia
166,17,8/9/2024,11.15,Barratt Reserve 3,2,Sturt Marion OB,,,Austria
167,17,8/9/2024,9.3,Barratt Reserve 4,1,Plympton FC,,,University Old Boys
168,17,8/9/2024,11.15,Barratt Reserve 4,2,Southern Sharks,,,Old Plymptonians
169,17,8/9/2024,9.3,Barratt Reserve 5,2,West Beach,,,Adelaide Spurs
170,17,8/9/2024,11.15,Barratt Reserve 5,1,Sporting,,,BYE
171,18,22/9/2024,9.3,Barratt Reserve 1,2,Adelaide Spurs,,,Austria
172,18,22/9/2024,11.15,Barratt Reserve 1,1,Royal Ajvar,,,University Old Boys
173,18,22/9/2024,9.3,Barratt Reserve 2,2,University Orange,,,Pulteney Crabs
174,18,22/9/2024,11.15,Barratt Reserve 2,1,Pulteney,,,Croatia
175,18,22/9/2024,9.3,Barratt Reserve 3,2,Old Plymptonians,,,Sturt Marion OB
176,18,22/9/2024,11.15,Barratt Reserve 3,1,Plympton FC,,,Sturt Fusion
177,18,22/9/2024,9.3,Barratt Reserve 4,2,Southern Sharks,,,Southern Cross
178,18,22/9/2024,11.15,Barratt Reserve 4,1,Sporting,,,Cove Masters
179,18,22/9/2024,9.3,Barratt Reserve 5,2,West Beach,,,Mercedes
180,18,22/9/2024,11.15,Barratt Reserve 5,1,St Peters,,,BYE
